SBLnr,SBLlength,titel,Fodd,Dod,Band,Year
6436,111710,"Ryning (Rönning), släkt",,,"Band 31 (2000-2002), sida 133.",2000-2002
6447,105180,"Rålamb, släkt",,,"Band 31 (2000-2002), sida 159.",2000-2002
6461,26635,"Röhss, släkt",,,"Band 31 (2000-2002), sida 188.",2000-2002
6464,50513,"Sager, släkt",,,"Band 31 (2000-2002), sida 219.",2000-2002
6473,54055,"Sahlin, släkt",,,"Band 31 (2000-2002), sida 247.",2000-2002
6495,36281,"Salin, släkt",,,"Band 31 (2000-2002), sida 288.",2000-2002
6500,40651,"Salmson, släkt",,,"Band 31 (2000-2002), sida 304.",2000-2002
6507,36299,"Saltza, von, släkt",,,"Band 31 (2000-2002), sida 316.",2000-2002
6519,46606,"Sandström, släkt",,,"Band 31 (2000-2002), sida 413.",2000-2002
6526,45047,"Sandwall, släkt",,,"Band 31 (2000-2002), sida 421.",2000-2002
6532,61549,"Santesson, släkt",,,"Band 31 (2000-2002), sida 424.",2000-2002
6549,48568,"Scheffer, släkt",,,"Band 31 (2000-2002), sida 504.",2000-2002
6564,84225,"Schulzenheim, von (Schultz, Schulzen, von Schulzen), släkt",,,"Band 31 (2000-2002), sida 656.",2000-2002
6572,29074,"Schumann, släkt",,,"Band 31 (2000-2002), sida 671.",2000-2002
6580,45370,"Schwerin, von, släkt",,,"Band 31 (2000-2002), sida 686.",2000-2002
6588,26308,"Schück, släkt",,,"Band 31 (2000-2002), sida 701.",2000-2002
6597,70840,"Sahlin, släkt",,,"Band 31 (2000-2002), sida 260.",2000-2002
6598,73173,Anders A Retzius,"Född:1796-10-13 – Lunds domkyrkoförsamling, Skåne län","Död:1860-04-18 – Kungsholm eller Ulrika Eleonora, Stockholms län","Band 30 (1998-2000), sida 6.",1998-2000
6599,71915,Anders Jahan Retzius,"Född:1742-10-03 – Kristianstads Heliga Trefaldighets församling, Kristianstads län","Död:1821-10-06 – Stockholms domkyrkoförsamling, Stockholms län","Band 30 (1998-2000), sida 1.",1998-2000
